datetime,symbol,open,high,low,close,volume
2022-11-14 09:15:00,NSE:AARTISURF,728.08391968,728.08391968,718.97302119,723.01134569,3763.59697419
2022-11-15 09:15:00,NSE:AARTISURF,727.88691743,727.88691743,714.14668769,716.80609494,4046.85663316
2022-11-16 09:15:00,NSE:AARTISURF,728.87187943,732.81172743,711.14256344,716.36285219,6274.35373631
2022-11-17 09:15:00,NSE:AARTISURF,710.4530802,723.89783118,709.3696417,711.04408694,3409.26858358
2022-11-18 09:15:00,NSE:AARTISURF,717.34781419,719.36697644,699.42149595,703.5583462,4052.94823873
2022-11-21 09:15:00,NSE:AARTISURF,706.5132322,708.6309202,685.82903022,688.48843746,12847.19614551
2022-11-22 09:15:00,NSE:AARTISURF,688.48843746,706.21775345,687.50347546,690.60612546,6032.72004873
2022-11-23 09:15:00,NSE:AARTISURF,697.50085945,753.29892716,694.44744771,703.4598697,43105.21627549
2022-11-24 09:15:00,NSE:AARTISURF,708.18767745,774.13089315,686.02603246,714.19592594,14740.67020995
2022-11-25 09:15:00,NSE:AARTISURF,719.02225944,723.94706943,712.17676369,714.93464744,5987.03300696
2022-11-28 09:15:00,NSE:AARTISURF,712.22600194,728.72411543,705.2820297,708.53239445,7792.17879064
2022-11-29 09:15:00,NSE:AARTISURF,709.6158822,716.90457144,703.26286745,706.6609962,8277.47670099
2022-11-30 09:15:00,NSE:AARTISURF,703.26286745,716.01813519,703.26286745,704.9373127,6577.91874718
2022-12-01 09:15:00,NSE:AARTISURF,705.23279145,716.01813519,695.48164796,703.3121057,11937.51638051
2022-12-02 09:15:00,NSE:AARTISURF,706.46399395,708.18767745,697.35309546,699.96326445,9035.88159436
2022-12-05 09:15:00,NSE:AARTISURF,702.27790545,707.1534772,695.48164796,699.71702395,4569.71944452
2022-12-06 09:15:00,NSE:AARTISURF,704.1985912,704.1985912,695.13693096,696.02341646,6713.96460489
2022-12-07 09:15:00,NSE:AARTISURF,704.24782945,704.24782945,692.42828546,693.70872621,4997.14710196
2022-12-08 09:15:00,NSE:AARTISURF,693.70872621,702.4749077,691.34484696,693.61024971,4533.1698111
2022-12-09 09:15:00,NSE:AARTISURF,692.03428096,698.33805745,684.54858947,687.84819246,9185.12593081
2022-12-12 09:15:00,NSE:AARTISURF,682.57866547,692.42828546,676.27488897,677.90009597,7503.8427937
2022-12-13 09:15:00,NSE:AARTISURF,677.90009597,684.54858947,666.42526898,669.62639548,16265.60213745
2022-12-14 09:15:00,NSE:AARTISURF,676.22565072,676.22565072,663.86438748,666.62227123,10118.1568505
2022-12-15 09:15:00,NSE:AARTISURF,668.78919748,669.77415948,662.92866373,665.19406648,4276.3071096
2022-12-16 09:15:00,NSE:AARTISURF,669.77415948,669.77415948,655.98469149,658.25009424,7168.80448739
2022-12-19 09:15:00,NSE:AARTISURF,658.25009424,688.48843746,656.37869599,658.89033924,7495.72065294
2022-12-20 09:15:00,NSE:AARTISURF,661.69746123,663.56890873,640.323776,649.48396199,6669.29283072
2022-12-21 09:15:00,NSE:AARTISURF,662.43618273,662.43618273,637.2704135,639.7328185,10152.67594872
2022-12-22 09:15:00,NSE:AARTISURF,633.33056551,646.08583325,620.52605952,625.05686501,7374.90380915
2022-12-23 09:15:00,NSE:AARTISURF,615.60124952,624.95838851,595.90200953,599.54637878,10000.38580949
2022-12-26 09:15:00,NSE:AARTISURF,615.60124952,615.60124952,587.13582804,609.00199428,11423.7909775
2022-12-27 09:15:00,NSE:AARTISURF,609.00199428,629.34147926,609.00199428,623.28394326,9382.08784421
2022-12-28 09:15:00,NSE:AARTISURF,635.3004895,635.3004895,617.62041177,620.87077652,6105.81931556
2022-12-29 09:15:00,NSE:AARTISURF,620.87077652,625.54934601,608.11555802,613.92680427,4363.62012276
2022-12-30 09:15:00,NSE:AARTISURF,622.49598351,629.39071751,617.07869252,623.72718601,5402.23887231
2023-01-02 09:15:00,NSE:AARTISURF,628.40575551,629.34147926,619.73809977,622.29898126,3583.8946099
2023-01-03 09:15:00,NSE:AARTISURF,628.06103851,628.40575551,617.62041177,624.95838851,3014.32948918
2023-01-04 09:15:00,NSE:AARTISURF,632.78884626,684.49935122,632.78884626,654.35948449,59256.09317472
2023-01-05 09:15:00,NSE:AARTISURF,657.95461549,659.92453948,631.36064151,635.74373225,9912.05752874
2023-01-06 09:15:00,NSE:AARTISURF,641.111785,641.111785,625.45086951,627.56855751,4745.36073843
2023-01-09 09:15:00,NSE:AARTISURF,627.56855751,635.25125125,614.61628752,627.12531476,11216.67638815
2023-01-10 09:15:00,NSE:AARTISURF,633.33056551,635.25125125,620.57529777,623.82566251,8303.87365846
2023-01-11 09:15:00,NSE:AARTISURF,626.87907426,634.75877025,620.32905727,628.01175101,7324.14042941
2023-01-12 09:15:00,NSE:AARTISURF,634.3155275,654.45801024,625.99258876,632.19783951,14838.13589906
2023-01-13 09:15:00,NSE:AARTISURF,641.2102615,641.40726375,630.37567951,631.65612026,10532.3860292
2023-01-16 09:15:00,NSE:AARTISURF,637.95989675,645.1501095,630.37567951,639.634342,12479.66927617
2023-01-17 09:15:00,NSE:AARTISURF,637.25,637.25,610.0,613.90002,27290.0
2023-01-18 09:15:00,NSE:AARTISURF,610.0,615.65002,591.29999,599.04999,14510.0
2023-01-19 09:15:00,NSE:AARTISURF,604.95001,608.90002,578.0,587.40002,11686.0
2023-01-20 09:15:00,NSE:AARTISURF,586.0,586.0,563.0,572.5,16010.0
2023-01-23 09:15:00,NSE:AARTISURF,575.0,611.0,572.84998,594.04999,27334.0
2023-01-24 09:15:00,NSE:AARTISURF,594.84998,604.70001,576.34998,580.09998,11059.0
2023-01-25 09:15:00,NSE:AARTISURF,576.0,582.95001,567.34998,572.75,8831.0
